i, s_dp, t_dp
0, True, 1.4050000000098706e-06
1, True, 6.439999999940937e-07
2, True, 5.130000000352908e-07
3, True, 3.7200000002624023e-07
4, True, 3.950000000418896e-07
5, True, 4.6200000003437935e-07
6, True, 4.1000000006174986e-07
7, True, 4.18000000057539e-07
8, True, 3.8099999999374745e-07
9, True, 3.8400000001992396e-07
10, True, 3.889999999895366e-07
11, True, 3.760000000241348e-07
12, True, 3.949999999308673e-07
13, True, 4.479999999862372e-07
14, True, 4.67000000003992e-07
15, True, 3.7500000005241674e-07
16, True, 4.579999999254625e-07
17, True, 3.2000000005361073e-07
18, True, 3.9700000009634806e-07
19, True, 3.7100000005452216e-07
20, True, 3.8699999993507816e-07
21, True, 3.29999999992836e-07
22, True, 4.019999999549384e-07
23, True, 3.979999999570438e-07
24, True, 3.859999999633601e-07
25, True, 4.340000000491173e-07
26, True, 4.5900000000820285e-07
27, True, 3.9399999995914925e-07
28, True, 4.0999999995072756e-07
29, True, 4.0099999998322033e-07
30, True, 3.188899999995165e-05
31, True, 4.728599999992422e-05
32, True, 5.6319000000026875e-05
33, True, 7.88130000000109e-05
34, True, 6.744399999991657e-05
35, True, 0.00010741899999999749
36, True, 9.971599999991643e-05
37, True, 0.00010034400000002996
38, True, 9.777899999996453e-05
39, True, 0.00013198299999994667
40, True, 0.0001681100000000546
41, True, 0.00015381799999991674
42, True, 0.00017489999999997785
43, True, 0.00014447800000005895
44, True, 0.0001434449999999643
45, True, 0.000184409000000052
46, True, 0.00018353100000001454
47, True, 0.0001823089999999361
48, True, 0.00019100500000002185
49, True, 0.00020229399999993625
50, False, 0.0009697039999999602
51, False, 0.0022191459999999497
52, False, 0.0036277079999998962
53, False, 0.0017944650000001339
54, False, 0.0008274019999998661
55, False, 0.002753556000000046
56, True, 0.041573847
57, True, 0.02598741399999982
58, True, 0.04801882000000002
59, True, 0.01804724599999985
60, True, 0.0525868599999999
61, False, 0.013161907999999833
62, True, 0.03405454799999985
63, True, 0.10812645499999984
64, True, 0.06844026099999989
65, False, 6.848599999997873e-05
66, False, 0.00017311100000005908
67, False, 2.5052999999886083e-05
68, False, 2.5567000000004114e-05
69, False, 0.00021686100000017916
70, False, 4.2289000000028665e-05
71, False, 9.89149999999217e-05
72, False, 0.0001321940000000854
73, False, 7.683400000013663e-05
74, False, 2.442700000004905e-05
75, False, 0.0004453599999998392
76, False, 8.768099999989509e-05
77, False, 0.0004131670000000476
78, False, 0.001174052000000092
79, False, 0.0003891350000000404
80, False, 0.0021167610000001336
81, False, 4.076099999994476e-05
82, False, 0.0012560739999998294
83, False, 0.0003335929999999099
84, False, 0.0011418860000000919
85, False, 0.0021707159999999615
86, False, 0.000823499999999866
87, False, 9.999999999998899e-05
88, False, 0.0004012110000000124
89, False, 0.006156959000000128
90, False, 0.0009449219999999592
91, False, 6.141000000003949e-05
92, False, 0.00034431400000012324
93, False, 0.0010724319999999565
94, False, 0.0011654749999998604
95, False, 0.00040086200000000183
96, False, 0.00011896900000007982
97, False, 0.004900481999999817
98, False, 0.0014756129999999867
99, False, 2.8200000000033754e-05
