i, s_local, t_local, iterations
0, 0, 2.577699999994909e-05, 1
1, 0, 1.1914000000001757e-05, 1
2, 0, 1.1963000000059232e-05, 1
3, 0, 1.4501999999971815e-05, 1
4, 0, 1.4208000000071053e-05, 1
5, 0, 1.6322000000013048e-05, 1
6, 0, 1.697400000000293e-05, 1
7, 0, 3.206700000002449e-05, 1
8, 0, 2.0922000000034302e-05, 1
9, 0, 2.164600000009731e-05, 1
10, 0, 2.2486999999959956e-05, 1
11, 0, 2.5947000000026144e-05, 1
12, 0, 2.6909999999991108e-05, 1
13, 0, 2.861200000003894e-05, 1
14, 0, 6.36339999999791e-05, 1
15, 0, 3.4563000000042976e-05, 1
16, 0, 3.545800000004373e-05, 1
17, 0, 5.300500000005037e-05, 1
18, 0, 4.4146999999994385e-05, 1
19, 0, 5.539499999995812e-05, 1
20, 0, 5.0398999999923255e-05, 1
21, 0, 5.023500000000958e-05, 1
22, 0, 7.075300000003448e-05, 1
23, 0, 5.7784000000005165e-05, 1
24, 0, 9.210700000006344e-05, 1
25, 0, 6.197699999999084e-05, 1
26, 0, 6.571099999996832e-05, 1
27, 0, 0.00010197000000000678, 1
28, 0, 8.7865999999992e-05, 1
29, 0, 0.00011059099999999322, 1
30, 1, 9.933600000000542e-05, 1
31, 2, 9.974200000006928e-05, 1
32, 3, 9.741299999999065e-05, 1
33, 4, 9.84590000000507e-05, 1
34, 5, 7.836900000002256e-05, 1
35, 6, 9.629699999991193e-05, 1
36, 7, 9.798500000002264e-05, 1
37, 8, 9.782899999999373e-05, 1
38, 9, 9.839300000002993e-05, 1
39, 10, 9.822200000009218e-05, 1
40, 11, 9.946900000001868e-05, 1
41, 12, 0.00011775099999999927, 1
42, 13, 9.745900000002194e-05, 1
43, 14, 6.444999999999368e-05, 1
44, 15, 6.540900000007177e-05, 1
45, 16, 8.485000000002518e-05, 1
46, 17, 9.689000000001613e-05, 1
47, 18, 9.647300000004133e-05, 1
48, 19, 9.572400000001924e-05, 1
49, 20, 9.540500000004837e-05, 1
50, 12389, 6.992699999996965e-05, 1
51, 13218, 0.00014258300000002944, 3
52, 12962, 4.528900000000391e-05, 1
53, 13247, 4.686500000006255e-05, 1
54, 13073, 5.1546000000013414e-05, 1
55, 13659, 5.163800000007601e-05, 1
56, 13975, 5.428399999996003e-05, 1
57, 14201, 5.6696999999994446e-05, 1
58, 14463, 9.225600000006828e-05, 1
59, 14527, 6.438300000000119e-05, 1
60, 14953, 7.275799999995058e-05, 1
61, 15370, 0.0001331880000000618, 2
62, 14881, 7.417600000003688e-05, 1
63, 15753, 0.0001565489999999503, 2
64, 15849, 8.569800000002292e-05, 1
65, 6192, 7.022999999994894e-05, 2
66, 9329, 4.197400000005569e-05, 1
67, 2938, 4.7499999999978115e-05, 1
68, 2938, 4.8445000000008065e-05, 1
69, 8317, 6.833100000003256e-05, 1
70, 3274, 6.749299999997405e-05, 1
71, 4731, 5.752700000005717e-05, 1
72, 5280, 5.8156000000031405e-05, 1
73, 4159, 6.786800000002646e-05, 1
74, 1214, 8.009900000005565e-05, 1
75, 7056, 8.457699999997459e-05, 1
76, 2972, 8.030400000003102e-05, 1
77, 6462, 8.471099999995957e-05, 1
78, 8629, 9.851199999999505e-05, 1
79, 6160, 9.024300000004537e-05, 1
80, 4236588453, 0.00010230399999999751, 2
81, 264734179, 5.9931999999984775e-05, 1
82, 2901719955, 7.519400000000065e-05, 1
83, 1692611900, 6.979900000003703e-05, 1
84, 2624650527, 6.926200000001437e-05, 1
85, 3305514786, 0.0001396859999999167, 2
86, 2423031900, 0.00014371300000004528, 2
87, 582276472, 7.958600000002036e-05, 1
88, 1515616135, 0.00016078499999994111, 2
89, 3352306294, 8.597499999996039e-05, 1
90, 2637195853, 5.4749999999992305e-05, 1
91, 368260061, 5.742099999994643e-05, 1
92, 1346016648, 6.191499999996797e-05, 1
93, 2261005216, 6.268799999997743e-05, 1
94, 2369695237, 0.0001262610000000164, 2
95, 1532577498, 7.216600000004014e-05, 1
96, 704795942, 7.379600000001485e-05, 1
97, 3045530540, 7.855099999998227e-05, 1
98, 2261005216, 8.193499999997744e-05, 1
99, 77808393, 0.00016226399999996755, 2
