i, s_local, t_local, iterations
0, 0, 3.496599999996963e-05, 1
1, 0, 2.1923000000034776e-05, 2
2, 0, 2.582099999992593e-05, 2
3, 0, 3.186799999999046e-05, 3
4, 0, 3.470199999999757e-05, 3
5, 0, 2.8644999999993814e-05, 2
6, 0, 5.9275999999997e-05, 4
7, 0, 9.243500000000182e-05, 6
8, 0, 0.00012012700000008092, 7
9, 0, 0.00011825800000009323, 6
10, 0, 0.00010902899999998272, 5
11, 0, 0.00014244600000001828, 6
12, 0, 0.0002125990000000355, 8
13, 0, 0.0002883729999999529, 7
14, 0, 0.00029221000000001496, 9
15, 0, 0.00035162900000007546, 10
16, 0, 0.0002629520000000385, 7
17, 0, 0.000515293999999944, 10
18, 0, 0.000602910000000012, 13
19, 0, 0.0005390200000000567, 8
20, 0, 0.0005160990000000476, 10
21, 0, 0.0005408479999999827, 9
22, 0, 0.0009964510000000093, 14
23, 0, 0.0010094880000000028, 15
24, 0, 0.0009892659999999331, 14
25, 0, 0.0010102480000000469, 14
26, 0, 0.0015366589999999958, 19
27, 0, 0.0015866460000000249, 17
28, 0, 0.0015152440000000267, 17
29, 0, 0.0016259239999999453, 18
30, 1, 0.00016947599999994623, 2
31, 2, 0.0001735760000000086, 3
32, 3, 0.00015612499999995144, 2
33, 4, 0.00011843599999994403, 2
34, 5, 0.00017505699999997848, 2
35, 6, 6.664800000000248e-05, 1
36, 7, 0.00027732199999996876, 5
37, 8, 0.00028031899999991783, 5
38, 9, 0.00030086299999998456, 5
39, 10, 0.00044343599999996375, 7
40, 11, 0.0003171590000000668, 5
41, 12, 0.0003780409999999401, 6
42, 13, 0.0005834769999999434, 10
43, 14, 0.0005691119999999827, 8
44, 15, 0.0005986540000000318, 8
45, 16, 0.0007074950000000024, 11
46, 17, 0.0006933559999999783, 11
47, 18, 0.0007826670000000702, 11
48, 19, 0.0010275549999999578, 12
49, 20, 0.0020767470000000454, 10
50, 12343, 0.00025902599999994, 5
51, 12836, 0.0001486539999999703, 3
52, 13094, 0.00038472499999997467, 6
53, 12672, 0.00019121999999993644, 2
54, 13493, 0.00040072899999998857, 7
55, 13219, 0.0004106120000000324, 6
56, 13723, 0.0007615429999999757, 7
57, 14486, 0.0008101469999999278, 6
58, 14497, 0.0008293649999999708, 7
59, 14739, 0.001378888000000078, 12
60, 15034, 0.0004976629999999815, 6
61, 15262, 0.0008619099999999102, 8
62, 15950, 0.000369209000000037, 4
63, 15751, 0.0006948010000000782, 7
64, 16051, 0.0013866700000000343, 10
65, 6702, 0.0002458530000000181, 6
66, 9407, 0.00045101100000000116, 10
67, 4325, 0.00047675399999991264, 10
68, 2938, 0.0004731230000000197, 9
69, 8186, 0.0006312699999999616, 11
70, 4159, 0.0007641200000000348, 12
71, 4978, 0.0005307260000000369, 7
72, 5539, 0.0022858789999999907, 7
73, 4186, 0.0014057430000000704, 13
74, 1724, 0.000990052000000019, 11
75, 7200, 0.0017306830000000106, 11
76, 2972, 0.0016317900000000218, 9
77, 5966, 0.013629899999999973, 14
78, 8723, 0.0015948540000000344, 15
79, 5966, 0.001799847000000021, 11
80, 4569986553, 0.0005486179999999452, 5
81, 264734179, 0.006621927999999944, 13
82, 2930802926, 0.0006507680000000793, 9
83, 1833158428, 0.000763265000000013, 10
84, 2625512379, 0.0007687459999999868, 10
85, 3310270932, 0.00392992999999997, 9
86, 2384540429, 0.0007556439999999442, 8
87, 582276472, 0.0019986949999999393, 20
88, 1582242001, 0.000911616000000004, 9
89, 3437667866, 0.001115091000000068, 10
90, 2624266982, 0.0019135150000000323, 9
91, 651262785, 0.0009475740000000066, 13
92, 1433867120, 0.0039973000000000924, 11
93, 2237373440, 0.0009962989999999783, 10
94, 2305071724, 0.000796999000000076, 10
95, 1634278836, 0.0009290889999999941, 11
96, 756235710, 0.007954672999999968, 11
97, 3003429075, 0.001898175000000002, 7
98, 2225192443, 0.019527498999999948, 12
99, 77808393, 0.004929296999999999, 14
