i, N, T, s_exh1, s_exh10, s_greedy, s_ILP, s_dp, s_local, t_exh1, t_exh10, t_greedy, t_ILP, t_dp, t_local
0, 0, 0, False, False, 0, 0, True, -1, 1.1350999999937272e-05, 1.0320999999979819e-05, 0, 0, 1.4050000000098706e-06, -1
1, 1, 0, False, False, -1, -1, True, -1, 2.0368999999909043e-05, 1.2566000000102662e-05, 0, -1, 6.439999999940937e-07, -1
2, 2, 0, False, False, 0, 0, True, -1, 1.9640000000098468e-05, 2.0189000000003787e-05, 0, 0, 5.130000000352908e-07, -1
3, 3, 0, False, False, 0, 0, True, -1, 2.5402000000007696e-05, 2.6512000000034064e-05, 0, 0, 3.7200000002624023e-07, -1
4, 4, 0, False, False, 0, 0, True, -1, 4.82829999999268e-05, 4.922699999998503e-05, 0, 0, 3.950000000418896e-07, -1
5, 5, 0, False, False, 0, 0, True, -1, 8.162699999991752e-05, 8.903600000009781e-05, 0, 0, 4.6200000003437935e-07, -1
6, 6, 0, False, False, 0, 0, True, -1, 0.000266570000000077, 0.0002809350000000377, 0, 0, 4.1000000006174986e-07, -1
7, 7, 0, False, False, 0, 0, True, -1, 0.00032962999999996967, 0.000571323000000068, 0, 0, 4.18000000057539e-07, -1
8, 8, 0, False, False, 0, 0, True, -1, 0.0008220719999999515, 0.0011874899999999577, 0, 0, 3.8099999999374745e-07, -1
9, 9, 0, False, False, 0, 0, True, -1, 0.0013814370000000409, 0.0015440150000000097, 0, 0, 3.8400000001992396e-07, -1
10, 10, 0, False, False, 0, 0, True, -1, 0.0028119719999999404, 0.0029084969999999544, 0, 0, 3.889999999895366e-07, -1
11, 11, 0, False, False, 0, 0, True, -1, 0.00954988999999995, 0.0064113620000000315, 0, 0, 3.760000000241348e-07, -1
12, 12, 0, False, False, 0, 0, True, -1, 0.03376312599999998, 0.05223894100000004, 0, 0, 3.949999999308673e-07, -1
13, 13, 0, False, False, 0, 0, True, -1, 0.030886514000000087, 0.05864083600000003, 0, 0, 4.479999999862372e-07, -1
14, 14, 0, False, False, 0, 0, True, -1, 0.05360790399999993, 0.06367927000000007, 0, 0, 4.67000000003992e-07, -1
15, 15, 0, False, False, 0, 0, True, -1, 0.10611916700000013, 0.09624945799999995, 0, 0, 3.7500000005241674e-07, -1
16, 16, 0, False, False, 0, 0, True, -1, 0.20602757800000004, 0.18177520600000008, 0, 0, 4.579999999254625e-07, -1
17, 17, 0, False, False, 0, 0, True, -1, 0.3317044869999999, 0.36499845500000005, 0, 0, 3.2000000005361073e-07, -1
