i: 1, n: 1, Target: 0, Mean: 1.0, Variance: 0.0. Greedy Accuracy: NaN
i: 2, n: 2, Target: 0, Mean: 1.0, Variance: 0.0. Greedy Accuracy: NaN
i: 3, n: 3, Target: 0, Mean: 1.0, Variance: 0.0. Greedy Accuracy: NaN
i: 4, n: 4, Target: 0, Mean: 1.0, Variance: 0.0. Greedy Accuracy: NaN
i: 5, n: 5, Target: 0, Mean: 1.0, Variance: 0.0. Greedy Accuracy: NaN
i: 6, n: 6, Target: 0, Mean: 1.0, Variance: 0.0. Greedy Accuracy: NaN
i: 7, n: 7, Target: 0, Mean: 1.0, Variance: 0.0. Greedy Accuracy: NaN
i: 8, n: 8, Target: 0, Mean: 1.0, Variance: 0.0. Greedy Accuracy: NaN
i: 9, n: 9, Target: 0, Mean: 1.0, Variance: 0.0. Greedy Accuracy: NaN
i: 10, n: 10, Target: 0, Mean: 1.0, Variance: 0.0. Greedy Accuracy: NaN
i: 11, n: 11, Target: 0, Mean: 1.0, Variance: 0.0. Greedy Accuracy: NaN
i: 12, n: 12, Target: 0, Mean: 1.0, Variance: 0.0. Greedy Accuracy: NaN
i: 13, n: 13, Target: 0, Mean: 1.0, Variance: 0.0. Greedy Accuracy: NaN
i: 14, n: 14, Target: 0, Mean: 1.0, Variance: 0.0. Greedy Accuracy: NaN
i: 15, n: 15, Target: 0, Mean: 1.0, Variance: 0.0. Greedy Accuracy: NaN
i: 16, n: 16, Target: 0, Mean: 1.0, Variance: 0.0. Greedy Accuracy: NaN
i: 17, n: 17, Target: 0, Mean: 1.0, Variance: 0.0. Greedy Accuracy: NaN
i: 18, n: 18, Target: 0, Mean: 1.0, Variance: 0.0. Greedy Accuracy: NaN
i: 19, n: 19, Target: 0, Mean: 1.0, Variance: 0.0. Greedy Accuracy: NaN
i: 20, n: 20, Target: 0, Mean: 1.0, Variance: 0.0. Greedy Accuracy: NaN
i: 21, n: 21, Target: 0, Mean: 1.0, Variance: 0.0. Greedy Accuracy: NaN
i: 22, n: 22, Target: 0, Mean: 1.0, Variance: 0.0. Greedy Accuracy: NaN
i: 23, n: 23, Target: 0, Mean: 1.0, Variance: 0.0. Greedy Accuracy: NaN
i: 24, n: 24, Target: 0, Mean: 1.0, Variance: 0.0. Greedy Accuracy: NaN
i: 25, n: 25, Target: 0, Mean: 1.0, Variance: 0.0. Greedy Accuracy: NaN
i: 26, n: 26, Target: 0, Mean: 1.0, Variance: 0.0. Greedy Accuracy: NaN
i: 27, n: 27, Target: 0, Mean: 1.0, Variance: 0.0. Greedy Accuracy: NaN
i: 28, n: 28, Target: 0, Mean: 1.0, Variance: 0.0. Greedy Accuracy: NaN
i: 29, n: 29, Target: 0, Mean: 1.0, Variance: 0.0. Greedy Accuracy: NaN
i: 30, n: 20, Target: 1, Mean: 0.05, Variance: 0.21794494717703364. Greedy Accuracy: 1.0
i: 31, n: 20, Target: 2, Mean: 0.1, Variance: 0.30000000000000004. Greedy Accuracy: 1.0
i: 32, n: 20, Target: 3, Mean: 0.15, Variance: 0.3570714214271425. Greedy Accuracy: 1.0
i: 33, n: 20, Target: 4, Mean: 0.2, Variance: 0.4000000000000001. Greedy Accuracy: 1.0
i: 34, n: 20, Target: 5, Mean: 0.25, Variance: 0.4330127018922193. Greedy Accuracy: 1.0
i: 35, n: 20, Target: 6, Mean: 0.3, Variance: 0.45825756949558394. Greedy Accuracy: 1.0
i: 36, n: 20, Target: 7, Mean: 0.35, Variance: 0.4769696007084728. Greedy Accuracy: 1.0
i: 37, n: 20, Target: 8, Mean: 0.4, Variance: 0.48989794855663565. Greedy Accuracy: 1.0
i: 38, n: 20, Target: 9, Mean: 0.45, Variance: 0.4974937185533099. Greedy Accuracy: 1.0
i: 39, n: 20, Target: 10, Mean: 0.5, Variance: 0.5. Greedy Accuracy: 1.0
i: 40, n: 20, Target: 11, Mean: 0.55, Variance: 0.49749371855331. Greedy Accuracy: 1.0
